year,hs_eci,locationcode,complexity_harv_rank_simple,complexity_harv_rank_normed,complexity_harv_rank_common
2014,0.18658477,ATG,101,0.427350427350427,89
2015,0.12382187,ATG,112,0.474358974358974,95
2016,0.19799922,ATG,108,0.457264957264957,94
1995,0.49773827,AUS,63,0.284403669724771,58
1996,0.39288318,AUS,72,0.331775700934579,70
1997,0.40486708,AUS,72,0.331775700934579,70
1998,0.45076123,AUS,71,0.327102803738318,69
1999,0.340214,AUS,79,0.362790697674419,77
2000,0.32578135,AUS,94,0.404347826086957,81
2001,0.20753573,AUS,105,0.452173913043478,93
2002,0.2523163,AUS,99,0.426086956521739,86
2003,0.3210012,AUS,86,0.369565217391304,75
2004,0.08484824,AUS,112,0.482608695652174,98
2005,0.10364561,AUS,114,0.491304347826087,102
2006,0.041653957,AUS,122,0.523809523809524,108
2007,0.020356754,AUS,122,0.523809523809524,106
2008,-0.13046502,AUS,130,0.558441558441558,114
2009,-0.036630224,AUS,126,0.541125541125541,110
2010,-0.2730043,AUS,149,0.640692640692641,131
2011,-0.06252693,AUS,125,0.532188841201717,108
2012,-0.20117939,AUS,135,0.572649572649573,115
2013,-0.27987212,AUS,147,0.621276595744681,127
2014,-0.28810483,AUS,144,0.611111111111111,126
2015,-0.29679438,AUS,144,0.611111111111111,126
2016,-0.17124256,AUS,135,0.572649572649573,117
1995,1.8852352,AUT,6,0.0229357798165138,6
1996,1.8365847,AUT,6,0.0233644859813084,6
1997,1.8598278,AUT,6,0.0233644859813084,6
1998,1.8730309,AUT,7,0.0280373831775701,7
1999,1.8562278,AUT,9,0.0372093023255814,9
2000,1.8527634,AUT,8,0.0304347826086957,7
2001,1.8890392,AUT,7,0.0260869565217391,6
2002,1.7913978,AUT,7,0.0260869565217391,7
2003,1.8180271,AUT,8,0.0304347826086957,7
2004,1.8280464,AUT,8,0.0304347826086957,8
2005,1.7739308,AUT,6,0.0217391304347826,6
2006,1.7340498,AUT,7,0.025974025974026,7
2007,1.7615751,AUT,7,0.025974025974026,7
2008,1.6887373,AUT,9,0.0346320346320346,9
2009,1.7142118,AUT,10,0.038961038961039,10
2010,1.6835253,AUT,12,0.0476190476190476,12
2011,1.6910896,AUT,11,0.0429184549356223,10
2012,1.5904374,AUT,15,0.0598290598290598,13
2013,1.6406348,AUT,13,0.051063829787234,13
2014,1.6664205,AUT,13,0.0512820512820513,11
2015,1.745975,AUT,8,0.0299145299145299,8
2016,1.6820103,AUT,10,0.0384615384615385,9
1995,0.016639972,AZE,106,0.481651376146789,100
1996,0.3816955,AZE,73,0.336448598130841,71
1997,0.344119,AZE,75,0.345794392523364,73
1998,0.26775756,AZE,88,0.406542056074766,86
1999,-0.22282845,AZE,124,0.572093023255814,121
2000,-0.17482914,AZE,132,0.569565217391304,118
2001,-0.6111138,AZE,169,0.730434782608696,152
2002,-0.42407224,AZE,160,0.691304347826087,143
2003,-0.35729915,AZE,155,0.669565217391304,138
2004,-0.49274382,AZE,156,0.673913043478261,140
2005,-0.33054245,AZE,149,0.643478260869565,134
2006,-0.5131739,AZE,167,0.718614718614719,150
2007,-0.97645384,AZE,195,0.83982683982684,178
2008,-0.7648146,AZE,186,0.800865800865801,168
2009,-1.0557672,AZE,206,0.887445887445887,188
2010,-1.1668172,AZE,215,0.926406926406927,196
2011,-1.3322347,AZE,221,0.944206008583691,200
2012,-0.91223985,AZE,194,0.824786324786325,173
2013,-0.9429882,AZE,198,0.838297872340426,176
2014,-1.2512414,AZE,211,0.897435897435897,190
2015,-0.9299552,AZE,195,0.829059829059829,175
2016,-0.85692817,AZE,186,0.790598290598291,166
1995,-1.433305,BDI,210,0.958715596330275,204
1996,-0.79588944,BDI,169,0.785046728971963,167
1997,-0.9863204,BDI,180,0.836448598130841,178
1998,-0.53382605,BDI,147,0.682242990654206,145
1999,-1.3923955,BDI,206,0.953488372093023,203
2000,-0.84256345,BDI,186,0.804347826086957,169
2001,0.030906137,BDI,122,0.526086956521739,109
2002,-0.017200198,BDI,125,0.539130434782609,111
2003,-0.7202788,BDI,179,0.773913043478261,162
2004,-0.8905363,BDI,191,0.826086956521739,175
2005,-0.9836463,BDI,196,0.847826086956522,179
2006,-0.21374957,BDI,141,0.606060606060606,126
2007,-0.38205028,BDI,151,0.649350649350649,135
2008,-0.36381772,BDI,153,0.658008658008658,135
2009,-0.6533821,BDI,176,0.757575757575758,158
2010,-0.9666294,BDI,200,0.861471861471862,181
2011,-1.0394353,BDI,202,0.862660944206009,181
2012,-0.9217697,BDI,196,0.833333333333333,175
2013,-1.2323537,BDI,215,0.91063829787234,193
2014,-0.38143083,BDI,156,0.662393162393162,137
2015,-1.0583613,BDI,201,0.854700854700855,180
2016,-0.9687301,BDI,194,0.824786324786325,174
1995,1.5407519,BEL,11,0.0458715596330275,11
1996,1.5455458,BEL,11,0.0467289719626168,11
1997,1.4499028,BEL,13,0.0560747663551402,13
1998,1.4653299,BEL,11,0.0467289719626168,11
1999,1.4444587,BEL,14,0.0604651162790698,13
2000,1.3829432,BEL,17,0.0695652173913044,14
2001,1.3759869,BEL,21,0.0869565217391304,17
2002,1.3903475,BEL,19,0.0782608695652174,17
2003,1.314764,BEL,18,0.0739130434782609,15
2004,1.3660457,BEL,18,0.0739130434782609,17
2005,1.2150141,BEL,26,0.108695652173913,22
2006,1.2662821,BEL,28,0.116883116883117,23
2007,1.353262,BEL,23,0.0952380952380952,22
2008,1.3590302,BEL,19,0.0779220779220779,17
2009,1.3269699,BEL,23,0.0952380952380952,21
2010,1.233593,BEL,26,0.108225108225108,23
2011,1.2272775,BEL,32,0.133047210300429,26
2012,1.1555116,BEL,32,0.132478632478632,27
2013,1.2940875,BEL,22,0.0893617021276596,20
2014,1.2571611,BEL,26,0.106837606837607,22
2015,1.2447922,BEL,28,0.115384615384615,24
2016,1.1601788,BEL,32,0.132478632478632,29
1995,-1.1239096,BEN,197,0.89908256880734,191
1996,-0.882316,BEN,171,0.794392523364486,169
1997,-1.120396,BEN,189,0.878504672897196,187
1998,-0.7150676,BEN,160,0.742990654205608,158
